candidate,votes,total expenditures,travel expenses,"compensation of campaigners, etc.",communications,"stationery, printing, and distribution",employment of poll watchers,"rent, maintenance, etc.",political meetings and rallies,pol ads,employment of counsel,copying and classifying list of voters,printing of sample ballots,facebook - number of candidate posts,facebook - total comments,facebook - total shares,facebook - total reactions,win
Cynthia Villar,25283727,135529061.09,5085489.12,2382080.68,317512.48,4878749.93,300000.0,0.0,356720.64,121958508.24,100000.0,0.0,150000.0,49.0,2972.0,101955998.0,14129593.0,1.0
Grace Poe,22029788,156433463.8,14778884.92,0.0,0.0,1286269.76,0.0,0.0,1927792.15,138440516.97,0.0,0.0,0.0,27.0,2300.0,4835147.0,4891182.0,1.0
Bong Go,20657702,161418299.31,26111243.64,6126022.0,1420114.03,10045682.29,0.0,271830.07,515000.0,116428407.28,500000.0,0.0,0.0,20.0,2097.0,105584151.0,36036642.0,1.0
Pia Cayetano,19789019,73714198.55,3492491.65,1742663.08,0.0,4783700.0,0.0,47368.42,0.0,63647975.4,0.0,0.0,0.0,28.0,2611.0,56779700.0,5281970.0,1.0
Bato Dela Rosa,19004225,92701416.79,912526.77,300000.0,18351.45,14793520.0,0.0,1248.0,23840.59,76175929.98,476000.0,0.0,0.0,42.0,2028.0,57653386.0,6022055.0,1.0
Sonny Angara,18161862,314113.43,314113.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1967.0,7753745.0,11237546.0,1.0
Lito Lapid,16965464,10578374.26,392097.64,150000.0,32852.0,20000.0,0.0,0.0,45506.82,9937917.8,0.0,0.0,0.0,39.0,262.0,11059.0,110924.0,1.0
Imee Marcos,15882628,132146754.55,1460991.99,3200000.0,233716.26,2250000.0,0.0,225171.3,0.0,124776875.0,0.0,0.0,0.0,38.0,8644.0,192161400.0,17974976.0,1.0
Francis Tolentino,15510026,159169836.54,261322.76,0.0,65549.66,1885422.33,0.0,32171.56,6687.0,156856382.23,62301.0,0.0,0.0,44.0,2991.0,5411510.0,63607769.0,1.0
Koko Pimentel,14668665,79595818.3,1023244.93,132700.0,132765.0,2929696.64,0.0,165000.0,324832.03,74887579.7,0.0,0.0,0.0,21.0,996.0,1142641.0,89219111.0,1.0
Bong Revilla,14624445,121952358.93,2807280.92,312000.0,103850.0,4330004.5,0.0,150000.0,0.0,114249223.51,0.0,0.0,0.0,44.0,5186.0,474160400.0,37620052.0,1.0
Nancy Binay,14504936,56785472.82,588104.7,0.0,25701.48,1128087.5,0.0,25027.0,898093.46,54120458.68,0.0,0.0,0.0,38.0,1031.0,123718.0,2797064.0,1.0
JV Ejercito,14313727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2986.0,618543876.0,24284544.0,0.0
